Year,CO2,CH4,UVA,Temp,SF6
201401,406.6,1944,0.36,-0.7,8.4
201402,407.7,1953,0.49,1.9,8.7
201403,409.2,1943,0.66,7.9,8.5
201404,409.1,1938,0.81,14,9.1
201405,407.5,1941,1.09,18.9,9.4
201406,404.3,1939,1.14,23.1,9.6
201407,399.3,1885,0.99,26.1,9.5
201408,396.9,1910,0.79,25.2,9.7
201409,398.9,1962,0.81,22.1,9.7
201410,402.6,1952,0.61,15.6,9.5
201411,405.8,1964,0.41,9,9.3
201412,407.8,1962,0.31,-2.9,8.9
201501,409.2,1970,0.36,-0.9,8.9
201502,410.2,1961,0.47,1,9.2
201503,410.6,1954,0.76,6.3,9.3
201504,411.1,1952,0.81,13.3,9.2
201505,410,1937,1.1,18.9,9.1
201506,406.3,1942,1.09,23.6,9.2
201507,402,1925,0.94,25.8,9.1
201508,399.2,1906,0.98,26.3,9.8
201509,400.8,1972,0.88,22.4,9.5
201510,405.5,1956,0.6,15.5,8.9
201511,409,1979,0.3,8.9,9.8
201512,410.4,1970,0.3,1.6,9.4
201601,411.4,1967,0.34,-3.2,9.4
201602,412.4,1964,0.47,0.2,9.3
201603,413.7,1968,0.69,7,9.3
201604,414.2,1965,0.8,14.1,9.6
201605,412.8,1966,1.05,19.6,9.6
201606,409.1,1960,1.03,23.6,9.8
201607,404.5,1929,0.94,26.2,9.5
201608,402.1,1920,1.02,28,9.2
201609,404.3,1984,0.72,23.1,9.3
201610,408.8,1991,0.5,16.1,
201611,411.8,1991,0.37,6.8,9.4
201612,413.2,1980,0.3,1.2,9.5
201701,413.5,1984,0.34,-1.8,9.1
201702,414.5,1972,0.49,-0.2,9.4
201703,415.8,1975,0.7,6.3,9.6
201704,416.3,1966,0.86,13.9,9.3
201705,415.2,1962,1.02,19.5,9.7
201706,412.1,1955,1.28,23.3,9.8
201707,408,1951,0.85,26.9,9.8
201708,405.1,1958,0.97,25.9,9.7
201709,406.1,1979,0.81,22.1,9.7
201710,410.3,1977,0.54,16.4,9.7
201711,414.1,1977,0.38,5.6,9.7
201712,415.7,1987,0.29,-1.9,9.8
201801,416.8,1983,0.33,-4,9.7
201802,418,1981,0.46,-1.6,9.7
201803,419.1,1983,0.6,8.1,9.7
201804,419.7,1969,0.75,13,9.8
201805,417.7,1972,0.82,18.2,9.8
201806,414.1,1964,1.1,23.1,9.9
201807,410.2,1948,0.98,27.8,9.7
201808,407,1951,1.15,28.8,9.8
201809,408.9,1981,0.91,21.5,9.8
201810,414.2,1981,0.68,13.1,9.8
201811,417.7,1988,0.42,7.8,9.9
201812,418.4,1989,0.36,-0.6,9.9
201901,419,1998,0.42,-0.9,10.1
201902,420,2002,0.54,1,10.1
201903,421.1,1989,0.73,7.1,10.1
201904,422,1970,0.87,12.1,10.2
201905,420.5,1984,1.21,19.4,10.4
201906,416.8,1993,1.2,22.5,10.5
201907,413.6,1958,0.99,25.9,10.3
201908,411.8,1979,1.14,27.2,10.3
201909,412.8,2011,0.74,22.6,10.3
201910,416.2,1998,0.66,16.4,10.4
201911,419.3,1998,0.44,7.6,10.3
201912,421.2,2013,0.32,1.4,10.4
